Code,Division,Code,District,Code,Upazila/City Corporation,Code,Union / Municipality / City Corporation Ward
55,Rangpur,32,GAIBANDHA,30,GOBINDAGANJ,208,DARBASTA
30,Dhaka,33,GAZIPUR,33,GAZIPUR CITY CORPORATION,005,WARD NO. 05
50,Rajshahi,64,NAOGAON,28,DHAMOIRHAT,30,DHAMOIRHAT POURASABHA
20,Chittagong,15,CHITTAGONG,82,SATKANIA,211,DHARMAPUR
20,Chittagong,12,BRAHMANBARIA,02,AKHAURA,22,AKHAURA POURASABHA
55,Rangpur,27,DINAJPUR,17,BIROL,688,RANIPUKUR
55,Rangpur,27,DINAJPUR,43,GHORAGHAT,606,PALSHA
30,Dhaka,26,DHAKA,62,NAWABGANJ,170,BARUAKHALI
50,Rajshahi,64,NAOGAON,03,ATRAI,152,BISHA
30,Dhaka,48,KISHOREGANJ,06,BAJITPUR,446,KAILAG
30,Dhaka,48,KISHOREGANJ,49,KISHOREGANJ SADAR,410,JASHODAL
20,Chittagong,19,COMILLA,09,BARURA,180,CHITADDA
30,Dhaka,86,SHARIATPUR,94,ZAJIRA,169,BILASPUR
10,Barisal,78,PATUAKHALI,76,MIRZAGANJ,441,KAKRABUNIA
10,Barisal,09,BHOLA,25,CHARFASSON,351,HAZARIGANJ
60,Sylhet,90,SUNAMGANJ,23,CHHATAK,448,KALARUKA
40,Khulna,65,NARAIL,76,NARAIL SADAR,66,NARAIL POURASABHA
30,Dhaka,35,GOPALGANJ,32,GOPALGANJ SADAR,346,HARIDASPUR
20,Chittagong,19,COMILLA,74,MANOHARGANJ,443,KHILA
40,Khulna,41,JESSORE,23,JHIKARGACHHA,544,NABHARAN
40,Khulna,01,BAGERHAT,08,BAGERHAT SADAR,151,BEMARTA
10,Barisal,09,BHOLA,25,CHARFASSON,688,RASULPUR
40,Khulna,44,JHENAIDAH,33,KALIGANJ,407,JAMAL
45,Mymensingh,72,NETRAKONA,83,PURBADHALA,447,KHALISHAUR
20,Chittagong,22,COXS BAZAR,16,CHAKARIA,169,BHEOLA MANIKCHAR
50,Rajshahi,64,NAOGAON,47,MANDA,548,NURULLABAD
50,Rajshahi,81,RAJSHAHI,12,BAGMARA,449,KACHARI KOALIPARA
20,Chittagong,51,LAKSHMIPUR,65,RAMGANJ,75,RAMGANJ POURASABHA
40,Khulna,87,SATKHIRA,82,SATKHIRA SADAR,282,FINGRI
50,Rajshahi,81,RAJSHAHI,66,RAJSHAHI CITY CORPORATION,030,WARD NO. 30
30,Dhaka,29,FARIDPUR,84,SADARPUR,186,CHAR MANAIR
20,Chittagong,15,CHITTAGONG,86,SITAKUNDA,169,BARAIYADHALA
20,Chittagong,30,FENI,29,FENI SADAR,480,LEMUA
20,Chittagong,15,CHITTAGONG,53,MIRSARAI,454,KATACHHARA
20,Chittagong,46,KHAGRACHHARI,43,DIGHINALA,509,MERUNG
45,Mymensingh,89,SHERPUR,70,NALITABARI,407,JOGANIA
50,Rajshahi,64,NAOGAON,86,SAPAHAR,109,AIHAI
30,Dhaka,82,RAJBARI,29,GOALANDA,772,UJANCHAR
20,Chittagong,22,COXS BAZAR,90,TEKNAF,142,BAHARCHHARA
40,Khulna,01,BAGERHAT,56,MOLLAHAT,443,KODALIA
55,Rangpur,85,RANGPUR,42,KAUNIA,449,KURSHA
60,Sylhet,90,SUNAMGANJ,29,DERAI,452,KULANJ
50,Rajshahi,76,PABNA,83,SUJANAGAR,509,MANIKHAT
40,Khulna,47,KHULNA,30,DUMURIA,678,RAGUNATHPUR
55,Rangpur,32,GAIBANDHA,82,SADULLAPUR,219,DHAPERHAT
20,Chittagong,03,BANDARBAN,73,NAIKKHONGCHHARI,706,SONAICHHARI
40,Khulna,50,KUSHTIA,94,MIRPUR,153,BARUIPARA
10,Barisal,09,BHOLA,25,CHARFASSON,207,CHAR MANIKA
30,Dhaka,26,DHAKA,38,KERANIGANJ,755,TEGHARIA
55,Rangpur,27,DINAJPUR,69,NABABGANJ,310,GOLAPGANJ
30,Dhaka,67,NARAYANGANJ,44,NARAYANGANJ CITY CORPORATION,021,WARD NO. 21
50,Rajshahi,10,BOGRA,95,SONATALA,142,BALUA
45,Mymensingh,61,MYMENSINGH,20,FULBARIA,446,KALADAHA
60,Sylhet,90,SUNAMGANJ,86,SHALLA,342,HABIBPUR
50,Rajshahi,76,PABNA,22,CHATMOHAR,210,DANTIA BAMANGRAM
20,Chittagong,19,COMILLA,54,HOMNA,109,ASADPUR
20,Chittagong,19,COMILLA,94,TITAS,510,MAJITPUR
50,Rajshahi,76,PABNA,33,FARIDPUR,151,BRI LAHIRIBARI
50,Rajshahi,69,NATORE,41,GURUDASPUR,40,GURUDASPUR POURASABHA
50,Rajshahi,88,SIRAJGANJ,94,ULLAPARA,160,BARAHAR
40,Khulna,01,BAGERHAT,73,RAMPAL,686,RAMPAL
30,Dhaka,48,KISHOREGANJ,76,NIKLI,209,DAMPARA
40,Khulna,55,MAGURA,57,MAGURA SADAR,109,ATHAROKHADA
30,Dhaka,86,SHARIATPUR,65,NARIA,160,BIJHARI
30,Dhaka,33,GAZIPUR,33,GAZIPUR CITY CORPORATION,042,WARD NO. 42
10,Barisal,78,PATUAKHALI,66,KALAPARA,185,CHAMPAPUR
30,Dhaka,29,FARIDPUR,62,NAGARKANDA,80,NAGARKANDA POURASABHA
10,Barisal,04,BARGUNA,28,BARGUNA SADAR,445,KEORABANIA
40,Khulna,41,JESSORE,38,KESHABPUR,308,GOURIGHONA
20,Chittagong,15,CHITTAGONG,37,HATHAZARI,349,HATHAZARI
40,Khulna,41,JESSORE,09,BAGHARPARA,545,NARIKELBARIA
40,Khulna,01,BAGERHAT,60,MORELGANJ,179,CHINGRAKHALI
30,Dhaka,33,GAZIPUR,86,SREEPUR,142,BARMI
20,Chittagong,19,COMILLA,73,LALMAI,169,BELGHAR DAKKHIN
30,Dhaka,56,MANIKGANJ,82,SINGAIR,212,DHALLA
10,Barisal,79,PIROJPUR,90,ZIANAGAR,605,PARERHAT
45,Mymensingh,39,JAMALPUR,85,SARISHABARI,710,SATPOA
20,Chittagong,46,KHAGRACHHARI,49,KHAGRACHHARI SADAR,308,GOLABARI
20,Chittagong,03,BANDARBAN,14,BANDARBAN SADAR,740,TANKABATI
55,Rangpur,94,THAKURGAON,94,THAKURGAON SADAR,551,NARGUN
50,Rajshahi,64,NAOGAON,03,ATRAI,710,SAHAGOLA
60,Sylhet,36,HABIGANJ,02,AJMIRIGANJ,143,BADALPUR
45,Mymensingh,39,JAMALPUR,07,BAKSHIGANJ,509,MERURCHAR
50,Rajshahi,81,RAJSHAHI,94,TANORE,441,KALMA
20,Chittagong,03,BANDARBAN,04,ALIKADAM,442,KURUKPATA
55,Rangpur,27,DINAJPUR,77,PARBATIPUR,360,HARIRAMPUR
30,Dhaka,93,TANGAIL,95,TANGAIL SADAR,345,HUGRA
40,Khulna,41,JESSORE,61,MANIRAMPUR,353,HARIHARNAGAR
20,Chittagong,15,CHITTAGONG,16,CHITTAGONG  CITY CORPORATION,006,WARD NO. 06
55,Rangpur,73,NILPHAMARI,36,JALDHAKA,513,MIRGANJ
60,Sylhet,90,SUNAMGANJ,32,DHARMAPASHA,719,SUKHAIR
45,Mymensingh,61,MYMENSINGH,72,NANDAIL,520,MUSHULI
40,Khulna,18,CHUADANGA,31,DAMURHUDA,408,JURANPUR
30,Dhaka,29,FARIDPUR,03,ALFADANGA,741,TAGARBANDA
40,Khulna,18,CHUADANGA,55,JIBANNAGAR,442,KDK
40,Khulna,44,JHENAIDAH,14,HARINAKUNDU,609,PHALSI
10,Barisal,78,PATUAKHALI,95,PATUAKHALI SADAR,489,LOHALIA
30,Dhaka,29,FARIDPUR,90,SALTHA,152,BHAWAL
60,Sylhet,58,MOULVIBAZAR,83,SREEMANGAL,441,KALAPUR
30,Dhaka,67,NARAYANGANJ,58,NARAYANGANJ SADAR,311,GOGNAGAR
20,Chittagong,03,BANDARBAN,51,LAMA,310,GAJALIA
20,Chittagong,75,NOAKHALI,07,BEGUMGANJ,718,SHARIFPUR
20,Chittagong,19,COMILLA,74,MANOHARGANJ,142,BAISHGAON
30,Dhaka,68,NARSINGDI,60,NARSINGDI SADAR,716,SHILMANDI
55,Rangpur,94,THAKURGAON,94,THAKURGAON SADAR,118,AKHANAGAR
10,Barisal,79,PIROJPUR,80,PIROJPUR SADAR,724,SHIKDAR MALLIK
10,Barisal,06,BARISAL,32,GAURNADI,543,NALCHIRA
20,Chittagong,46,KHAGRACHHARI,47,GUIMARA,705,SINDUKCHHARI
20,Chittagong,15,CHITTAGONG,16,CHITTAGONG  CITY CORPORATION,013,WARD NO. 13
10,Barisal,42,JHALOKATI,73,NALCHHITY,450,KUSHANGAL
20,Chittagong,12,BRAHMANBARIA,13,BRAHMANBARIA SADAR,719,SUHILPUR
60,Sylhet,90,SUNAMGANJ,50,JAMALGANJ,275,FENARBANK
30,Dhaka,59,MUNSHIGANJ,94,TONGIBARI,145,BETKA
10,Barisal,79,PIROJPUR,58,MATHBARIA,109,AMRAGACHHIA
40,Khulna,87,SATKHIRA,04,ASHASHUNI,118,ASHASHUNI
60,Sylhet,36,HABIGANJ,71,MADHABPUR,180,CHHATIAIN
40,Khulna,65,NARAIL,76,NARAIL SADAR,730,SHINGASHOLPUR
55,Rangpur,94,THAKURGAON,51,HARIPUR,152,BHATURIA
55,Rangpur,85,RANGPUR,75,RANGPUR CITY CORPORATION,001,WARD NO. 01
40,Khulna,47,KHULNA,17,DACOPE,151,BANISHANTA
60,Sylhet,58,MOULVIBAZAR,14,BARALEKHA,219,DAKKHINBHAG (DAKKHIN)
55,Rangpur,85,RANGPUR,75,RANGPUR CITY CORPORATION,032,WARD NO. 32
20,Chittagong,15,CHITTAGONG,33,FATIKCHHARI,728,SUABIL
60,Sylhet,36,HABIGANJ,68,LAKHAI,142,BAMAI
45,Mymensingh,89,SHERPUR,70,NALITABARI,509,MARICHPURAN
30,Dhaka,35,GOPALGANJ,43,KASHIANI,621,PUISHUR
50,Rajshahi,81,RAJSHAHI,72,PABA,370,HUJURIPARA
30,Dhaka,93,TANGAIL,57,MADHUPUR,109,ALOKDIA
20,Chittagong,15,CHITTAGONG,04,ANWARA,109,ANWARA
40,Khulna,47,KHULNA,33,KHULNA CITY CORPORATION,005,WARD NO. 05
55,Rangpur,94,THAKURGAON,86,RANISHANKAIL,476,LEHEMBA
60,Sylhet,58,MOULVIBAZAR,83,SREEMANGAL,450,KALIGHAT
10,Barisal,79,PIROJPUR,80,PIROJPUR SADAR,440,KADAMTALA
45,Mymensingh,72,NETRAKONA,38,KHALIAJURI,450,KRISHNAPUR
60,Sylhet,36,HABIGANJ,71,MADHABPUR,215,DHARMAGHAR
30,Dhaka,56,MANIKGANJ,78,SHIBALAY,783,UTHALI
55,Rangpur,77,PANCHAGARH,73,PANCHAGARH SADAR,712,SATMERA
40,Khulna,47,KHULNA,33,KHULNA CITY CORPORATION,003,WARD NO. 03
10,Barisal,78,PATUAKHALI,38,BAUPHAL,143,BAGA
50,Rajshahi,70,CHAPAINABABGANJ,37,GOMASTAPUR,609,PARBATIPUR
30,Dhaka,56,MANIKGANJ,70,SATURIA,210,DARAGRAM
50,Rajshahi,88,SIRAJGANJ,50,KAZIPUR,712,SHUBHAGACHHA
50,Rajshahi,10,BOGRA,95,SONATALA,209,DIGDAIR
